,fit_time,score_time,test_score,train_score
dummy,0.003 (+/- 0.000),0.002 (+/- 0.000),0.441 (+/- 0.003),0.441 (+/- 0.001)
decision tree,0.008 (+/- 0.000),0.002 (+/- 0.000),0.503 (+/- 0.038),1.000 (+/- 0.000)
kNN,0.004 (+/- 0.001),0.007 (+/- 0.001),0.558 (+/- 0.014),0.686 (+/- 0.006)
RBF SVM,0.025 (+/- 0.002),0.009 (+/- 0.001),0.603 (+/- 0.020),0.664 (+/- 0.009)
naive bayes,0.005 (+/- 0.001),0.003 (+/- 0.000),0.538 (+/- 0.021),0.557 (+/- 0.014)
log reg,0.017 (+/- 0.001),0.003 (+/- 0.000),0.590 (+/- 0.024),0.601 (+/- 0.005)
